,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
0,query_es2_1_1.load.inserts,query_es2_1_1,es2,load.inserts,load,load,1,1,3603765.73526,3.6037657352599997,174.4612,273.0181611680809,273.0181611680809,47631.07601917679,0.0,3575608.5,3925567.4000000004,4086089.6,4222228.0,4623222.563333332,1,1,55213663.0,2207303.0,366276000000.0,0.0,100000.0,100000.0,17446120.0,5992642207.0
1,query_es2_1_1.q1.reads,query_es2_1_1,es2,q1.reads,fixed_1: v101,1,1,1,756683.2802,0.7566832802,384.0,1259.6046428523293,1259.6046428523293,483688.1828552945,0.0,752217.0,766331.2,772882.0666666667,779115.3999999999,792738.81,1,1,1272711.0,741156.0,7938999000.0,0.0,10000.0,10000.0,3840000.0,367140311421.0
2,query_es2_1_1.q2.reads,query_es2_1_1,es2,q2.reads,fixed_1: v41,2,1,1,764259.8594,0.7642598594,383.0,1248.2836100362003,1248.2836100362003,478092.6226438647,0.0,761274.5,766916.8,778283.8333333333,787964.2,799505.1233333334,1,1,936397.0,747884.0,8010999999.999999,0.0,10000.0,10000.0,3830000.0,375075712718.0
3,query_es2_1_1.q3.reads,query_es2_1_1,es2,q3.reads,fixed_1: v17,3,1,1,876744.3241,0.8767443241000001,378.0,1094.4512525392638,1094.4512525392638,413702.5734598417,0.0,872192.0,884681.0,894848.7666666666,901150.4,914016.0366666667,1,1,1024932.0,861304.0,9136999000.0,0.0,10000.0,10000.0,3780000.0,383087542633.0
4,query_es2_1_1.q4.reads,query_es2_1_1,es2,q4.reads,fixed_1: v10,4,1,1,2076249.3393,2.0762493393,378.0,473.0145439200863,473.0145439200863,178799.4976017926,0.0,2074683.0,2086966.6,2094730.1333333333,2102870.4,2127266.89,1,1,2354840.0,2048320.0,21140999000.0,0.0,10000.0,10000.0,3780000.0,392234977107.0
5,query_es2_1_1.q5.reads,query_es2_1_1,es2,q5.reads,fixed_1: v7,5,1,1,15171796.5864,15.1717965864,373.0,65.68187683125588,65.68187683125588,24499.340058058446,0.0,15157221.0,15196713.0,15228483.0,15297059.95,15519724.59,1,1,21250038.0,15014058.0,152248999000.0,0.0,10000.0,10000.0,3730000.0,413579765675.0
6,query_es2_1_1.q6.reads,query_es2_1_1,es2,q6.reads,fixed_int: int_1,6,1,1,401052.57742,0.4010525774200001,0.0,2269.889961863352,0.0,0.0,0.0,398681.0,403267.6,411923.6333333333,415842.55,428465.66333333333,1,1,1600868.0,390303.0,44054999000.0,0.0,100000.0,0.0,0.0,569250749023.0
7,query_es2_1_1.q7.reads,query_es2_1_1,es2,q7.reads,fixed_int: int_10,7,1,1,411414.79272,0.41141479272,0.0,2213.466780589375,0.0,0.0,0.0,409183.0,413425.0,421893.0,426041.54999999993,438229.0,1,1,610726.0,398812.0,45177999000.0,0.0,100000.0,0.0,0.0,613394606671.0
8,query_es2_1_1.q8.reads,query_es2_1_1,es2,q8.reads,fixed_int: int_100,8,1,1,485958.60975,0.48595860974999994,0.0,1859.7731422684237,0.0,0.0,0.0,483498.0,488026.0,497282.0,501028.54999999993,510631.66333333333,1,1,778030.0,474422.0,53769999000.0,0.0,100000.0,0.0,0.0,659714514799.0
9,query_es2_1_1.q9.reads,query_es2_1_1,es2,q9.reads,fixed_int: int_1000,9,1,1,1258642.24114,1.25864224114,0.0,709.7181759513287,0.0,0.0,0.0,1254052.0,1267501.0,1274409.0,1279505.0,1301297.2566666666,1,1,2041215.0,1235771.0,140900999000.0,0.0,100000.0,0.0,0.0,723370946526.0
10,query_es2_1_1.q10.reads,query_es2_1_1,es2,q10.reads,fixed_int: int_10000,10,1,1,10707784.81891,10.707784818909998,0.0,84.31653445916974,0.0,0.0,0.0,10685146.0,10732695.0,10842662.133333333,10995409.35,11188882.306666667,1,1,12207367.0,10391844.0,1186006999000.0,0.0,100000.0,0.0,0.0,964691755244.0
11,query_es2_1_4.load.inserts,query_es2_1_4,es2,load.inserts,load,load,1,4,8239688.53814,8.239688538140001,174.4612,454.6942635771707,454.6942635771707,79326.50685678949,0.0,4540534.0,8758008.400000002,14500411.999999996,21385627.899999995,35872571.11999998,4,4,7089801099.0,2350715.0,219928000000.0,0.0,100000.0,100000.0,17446120.0,7682943800.0
12,query_es2_1_4.q1.reads,query_es2_1_4,es2,q1.reads,fixed_1: v101,1,1,4,754562.6285,0.7545626285,387.0,5005.005005005005,5005.005005005005,1936936.936936937,0.0,750915.0,767671.2,778686.7,788926.2,816268.2600000001,4,4,1225208.0,716978.0,1998000000.0,0.0,10000.0,10000.0,3870000.0,883390272810.0
