,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
0,query_es3_1_1.load.inserts,query_es3_1_1,es3,load.inserts,load,load,1,1,18935644.19478,18.93564419478,156.38311,52.61800903977395,52.61800903977395,8228.567895647964,0.0,19096823.5,19775853.0,20034527.5,20265631.95,21040440.246666666,1,1,119534372.0,7711014.0,1900490000000.0,0.0,100000.0,100000.0,15638311.0,7064716678.0
1,query_es3_1_1.q1.reads,query_es3_1_1,es3,q1.reads,fixed_1: fixed_hf,1,1,1,23844772.7029,23.8447727029,355.0,41.86815717306203,41.86815717306203,14863.19579643702,0.0,23829104.5,23927064.0,23974098.633333333,24018366.65,24173551.29,1,1,32697982.0,23586729.0,238845000000.0,0.0,10000.0,10000.0,3550000.0,1901063261768.0
2,query_es3_1_1.q2.reads,query_es3_1_1,es3,q2.reads,fixed_1: uar,2,1,1,10129916.3911,10.129916391100002,366.0613,98.04690563965801,98.04690563965801,35891.17773943054,0.0,9151758.0,9461498.0,9621262.833333334,9993281.049999999,33164896.54000003,1,1,111165229.0,8725107.0,101992000000.0,0.0,10000.0,10000.0,3660613.0,2140289831369.0
3,query_es3_1_1.q3.reads,query_es3_1_1,es3,q3.reads,"uar_[1,5]: uar",3,1,1,8277719.9612,8.277719961199999,366.457,120.06099098341959,120.06099098341959,43997.19057281099,0.0,9108755.5,9391495.0,9585747.4,9739458.649999999,32021114.58333335,1,1,115568626.0,558780.0,83291000000.0,0.0,10000.0,10000.0,3664570.0,2242478774129.0
4,query_es3_1_1.q4.reads,query_es3_1_1,es3,q4.reads,"uar_[1,5]: uar_alllow",4,1,1,7547271.2286,7.5472712286,366.7347,131.6361051509208,131.6361051509208,48275.52753169139,0.0,9116210.0,9388801.6,9547106.433333334,9651560.3,10688977.103333335,1,1,12441506.0,560650.0,75967000000.0,0.0,10000.0,10000.0,3667347.0,2326131910734.0
5,query_es3_1_4.load.inserts,query_es3_1_4,es3,load.inserts,load,load,1,4,58754698.47229,58.75469847229,156.38311,65.76835857961392,65.76835857961392,10285.060454275206,0.0,21750057.0,36356083.80000002,55738413.53333333,84795595.94999991,365945228.5199996,4,4,29457631846.0,10657217.0,1520488000000.0,0.0,100000.0,100000.0,15638311.0,14396983995.0
6,query_es3_1_4.q1.reads,query_es3_1_4,es3,q1.reads,fixed_1: fixed_hf,1,1,4,28076560.8647,28.0765608647,355.0,142.16864044129147,142.16864044129147,50469.86735665847,0.0,28193819.5,28696892.200000003,28954542.03333333,29165828.9,29519248.116666667,4,4,39535612.0,25277895.0,70339000000.0,0.0,10000.0,10000.0,3550000.0,6088935922405.0
7,query_es3_1_4.q2.reads,query_es3_1_4,es3,q2.reads,fixed_1: uar,2,1,4,11001058.7191,11.0010587191,366.3293,357.51315138940873,357.51315138940873,130967.54248927612,0.0,10164600.0,10504396.4,10729964.0,11170477.899999997,34959491.17666671,4,4,135513576.0,9271564.0,27970999000.0,0.0,10000.0,10000.0,3663293.0,6371280641221.0
8,query_es3_1_4.q3.reads,query_es3_1_4,es3,q3.reads,"uar_[1,5]: uar",3,1,4,9098698.4187,9.0986984187,366.5614,429.25824175824175,429.25824175824175,157349.50206043955,0.0,10136067.0,10538608.4,10783991.433333334,11096993.649999999,34733518.09333338,4,4,132596849.0,586151.0,23296000000.0,0.0,10000.0,10000.0,3665614.0,6484621289452.0
9,query_es3_1_4.q4.reads,query_es3_1_4,es3,q4.reads,"uar_[1,5]: uar_alllow",4,1,4,8413959.1154,8.413959115399999,366.8479,468.05525242477194,468.05525242477194,171705.08643599748,0.0,10165313.0,10525021.2,10731635.266666666,10908600.0,11956527.06666667,4,4,14217668.0,582327.0,21364999000.0,0.0,10000.0,10000.0,3668479.0,6579478910759.0
10,query_es3_1_8.load.inserts,query_es3_1_8,es3,load.inserts,load,load,1,8,108670668.55911,108.67066855911,156.38311,70.7596901857725,70.7596901857725,11065.62041388758,0.0,22284740.5,46736216.80000001,79884631.46666665,152160250.29999977,2163759540.22,8,8,37514667872.0,9534074.0,1413234000000.0,0.0,100000.0,100000.0,15638311.0,29429599688.0
11,query_es3_1_8.q1.reads,query_es3_1_8,es3,q1.reads,fixed_1: fixed_hf,1,1,8,29133780.7007,29.1337807007,355.0,273.4855811154268,273.4855811154268,97087.38129597652,0.0,28939088.5,29848281.4,30540438.166666668,31323539.099999998,35113370.656666696,8,8,65045834.0,26483037.0,36564999000.0,0.0,10000.0,10000.0,3550000.0,11331174592138.0
12,query_es3_1_8.q2.reads,query_es3_1_8,es3,q2.reads,fixed_1: uar,2,1,8,11343420.1851,11.343420185100001,366.1439,682.1747731768879,682.1747731768879,249774.13193260113,0.0,10364887.0,10740587.399999999,11164621.766666666,13065051.149999995,35556655.24000007,8,8,134836023.0,9469978.0,14659000000.0,0.0,10000.0,10000.0,3661439.0,11624986365401.0
13,query_es3_1_8.q3.reads,query_es3_1_8,es3,q3.reads,"uar_[1,5]: uar",3,1,8,9366594.7257,9.366594725699999,366.4232,830.3579531975382,830.3579531975382,304262.4183560922,0.0,10214807.5,10615627.2,10931793.066666666,12388955.349999998,36274653.970000036,8,8,145613426.0,603225.0,12042999000.0,0.0,10000.0,10000.0,3664232.0,11745111706477.0
14,query_es3_1_8.q4.reads,query_es3_1_8,es3,q4.reads,"uar_[1,5]: uar_alllow",4,1,8,8483938.0943,8.4839380943,366.7954,934.4921908692825,934.4921908692825,342767.4369467748,0.0,10132105.5,10483051.0,10716145.466666667,11132101.299999997,13873602.303333342,8,8,25969656.0,600107.0,10700999000.0,0.0,10000.0,10000.0,3667954.0,11844409304526.0
15,query_es3_1_16.load.inserts,query_es3_1_16,es3,load.inserts,load,load,1,16,203535611.3403,203.5356113403,156.38311,75.34602668405606,75.34602668405606,11782.845978995672,0.0,21873759.0,60924158.0,126548787.76666653,354058981.7499999,5184075928.473333,16,16,43598357184.0,9042113.0,1327209999000.0,0.0,100000.0,100000.0,15638311.0,102184960736.0
16,query_es3_1_16.q1.reads,query_es3_1_16,es3,q1.reads,fixed_1: fixed_hf,1,1,16,54908775.3912,54.908775391199995,355.0,286.9605142332415,286.9605142332415,101870.98255280073,0.0,54750023.5,66448320.8,74103801.69999999,81177864.79999998,95796292.94000003,16,16,127848635.0,25292981.0,34848000000.0,0.0,10000.0,10000.0,3550000.0,21338646517003.0
17,query_es3_1_16.q2.reads,query_es3_1_16,es3,q2.reads,fixed_1: uar,2,1,16,22332199.6335,22.332199633499997,366.0604,691.5629322268326,691.5629322268326,253153.80359612723,0.0,20248918.5,27570269.200000003,32570177.966666665,38040665.34999999,64378907.81666683,16,16,370245846.0,9266859.0,14460000000.0,0.0,10000.0,10000.0,3660604.0,21898397702715.0
18,query_es3_1_16.q3.reads,query_es3_1_16,es3,q3.reads,"uar_[1,5]: uar",3,1,16,17917314.7499,17.917314749899997,366.5361,854.2627712284299,854.2627712284299,313118.1445412609,0.0,17446514.5,24818170.8,29566642.933333334,34224428.3,53023772.19000003,16,16,302070882.0,582479.0,11706000000.0,0.0,10000.0,10000.0,3665361.0,22135588762480.0
