,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
0,query_es3_1_1.load.inserts,query_es3_1_1,es3,load.inserts,load,load,1,1,17894337.60826,17.89433760826,156.38311,55.710834030183015,55.710834030183015,8712.233486333855,0.0,17957771.5,18825352.0,19169928.43333333,19557781.6,20851845.409999996,1,1,96753814.0,7592872.0,1794983000000.0,0.0,100000.0,100000.0,15638311.0,5635754503.0
1,query_es3_1_1.q1.reads,query_es3_1_1,es3,q1.reads,fixed_1: fixed_hf,1,1,1,21988369.8894,21.988369889399998,355.0,45.39965335276281,45.39965335276281,16116.876940230799,0.0,21951288.0,22191224.8,22258073.866666667,22300789.2,22407644.023333333,1,1,32382353.0,21545236.0,220265999000.0,0.0,10000.0,10000.0,3550000.0,1795452851019.0
2,query_es3_1_1.q2.reads,query_es3_1_1,es3,q2.reads,fixed_1: uar,2,1,1,9246241.8828,9.2462418828,366.1988,107.35603670885082,107.35603670885082,39313.65181553712,0.0,8450626.0,8690363.2,8851214.533333333,9061886.6,29559958.27666668,1,1,101697431.0,7842864.0,93147999000.0,0.0,10000.0,10000.0,3661988.0,2016178820627.0
3,query_es3_1_1.q3.reads,query_es3_1_1,es3,q3.reads,"uar_[1,5]: uar",3,1,1,7537190.368,7.537190368,366.4433,131.82525244535842,131.82525244535842,48306.48052941021,0.0,8343021.0,8599610.2,8767098.4,8951151.7,28120586.546666674,1,1,101694965.0,466828.0,75858000000.0,0.0,10000.0,10000.0,3664433.0,2109752948573.0
4,query_es3_1_1.q4.reads,query_es3_1_1,es3,q4.reads,"uar_[1,5]: uar_alllow",4,1,1,6886857.4644,6.886857464399999,366.7266,144.20650371331746,144.20650371331746,52884.360804672295,0.0,8343730.5,8586470.4,8731068.433333334,8849041.05,9148775.16666667,1,1,11355802.0,464103.0,69345000000.0,0.0,10000.0,10000.0,3667266.0,2186229534710.0
5,query_es3_1_4.load.inserts,query_es3_1_4,es3,load.inserts,load,load,1,4,52080373.14599,52.08037314599,156.38311,73.50357747314075,73.50357747314075,11494.718041375692,0.0,20081817.5,36079691.2,53357386.599999994,78740841.74999994,354384501.00333315,4,4,21304867817.0,9250456.0,1360477999000.0,0.0,100000.0,100000.0,15638311.0,14637073262.0
6,query_es3_1_4.q1.reads,query_es3_1_4,es3,q1.reads,fixed_1: fixed_hf,1,1,4,23193025.7563,23.193025756300003,355.0,171.81540448464665,171.81540448464665,60994.46859204956,0.0,23148770.0,23388366.4,23567006.0,23767813.85,24428161.46,4,4,28898808.0,22284655.0,58201999000.0,0.0,10000.0,10000.0,3550000.0,5450910939043.0
7,query_es3_1_4.q2.reads,query_es3_1_4,es3,q2.reads,fixed_1: uar,2,1,4,10072625.1949,10.0726251949,366.1427,390.3048433045097,390.3048433045097,142907.2691505901,0.0,9360202.0,9718979.2,9992717.633333333,10392643.45,29464451.900000006,4,4,107906628.0,8538842.0,25620999000.0,0.0,10000.0,10000.0,3661427.0,5684651757313.0
8,query_es3_1_4.q3.reads,query_es3_1_4,es3,q3.reads,"uar_[1,5]: uar",3,1,4,8266489.398,8.266489398000001,366.5316,479.1796674100181,479.1796674100181,175634.4901832618,0.0,9246605.5,9630755.8,9894295.7,10269920.249999998,29513936.950000018,4,4,105890346.0,464185.0,20868999000.0,0.0,10000.0,10000.0,3665316.0,5789555951443.0
9,query_es3_1_4.q4.reads,query_es3_1_4,es3,q4.reads,"uar_[1,5]: uar_alllow",4,1,4,7680913.0845,7.680913084500001,366.784,517.2503241737094,517.2503241737094,189719.14290172982,0.0,9249214.5,9606872.399999999,9821688.933333334,10052840.55,10704658.510000002,4,4,18863916.0,473489.0,19332999000.0,0.0,10000.0,10000.0,3667840.0,5875567184276.0
10,query_es3_1_8.load.inserts,query_es3_1_8,es3,load.inserts,load,load,1,8,95905372.21376,95.90537221376002,156.38311,80.247676428529,80.247676428529,12549.38121016706,0.0,20364886.0,43766218.600000024,73942324.39999999,138386566.7999999,2127900788.1899996,8,8,22333746306.0,9990719.0,1246142000000.0,0.0,100000.0,100000.0,15638311.0,44977258164.0
11,query_es3_1_8.q1.reads,query_es3_1_8,es3,q1.reads,fixed_1: fixed_hf,1,1,8,24596572.0451,24.5965720451,355.0,323.02872768771937,323.02872768771937,114675.19832914037,0.0,24033238.5,24918088.4,26296195.733333334,28659235.0,32726814.00000001,8,8,43195800.0,22625827.0,30956999000.0,0.0,10000.0,10000.0,3550000.0,10008046012495.0
12,query_es3_1_8.q2.reads,query_es3_1_8,es3,q2.reads,fixed_1: uar,2,1,8,12427934.7071,12.4279347071,366.0937,631.7518877851973,631.7518877851973,231280.38608126767,0.0,10618639.0,14075817.8,16628477.399999999,18948701.299999997,31283204.91666669,8,8,120415935.0,8616150.0,15828999000.0,0.0,10000.0,10000.0,3660937.0,10257281125533.0
13,query_es3_1_8.q3.reads,query_es3_1_8,es3,q3.reads,"uar_[1,5]: uar",3,1,8,10130326.1728,10.1303261728,366.4439,776.6387679899633,776.6387679899633,284594.5390334373,0.0,10079060.5,12775406.8,15385389.466666665,17950839.449999996,33094572.300000012,8,8,117396312.0,486617.0,12875999000.0,0.0,10000.0,10000.0,3664439.0,10388778493566.0
14,query_es3_1_8.q4.reads,query_es3_1_8,es3,q4.reads,"uar_[1,5]: uar_alllow",4,1,8,9564363.764,9.564363764,366.7319,824.4023083264633,824.4023083264633,302334.6248969497,0.0,10158553.0,12863667.8,15251650.166666664,17275387.7,20662873.83666667,8,8,30537069.0,485320.0,12130000000.0,0.0,10000.0,10000.0,3667319.0,10496700420572.0
15,query_es3_1_16.load.inserts,query_es3_1_16,es3,load.inserts,load,load,1,16,183473800.83646,183.47380083646,156.38311,82.76789076191807,82.76789076191807,12943.500165489018,0.0,32370341.5,65097555.400000006,132670062.03333327,350654639.5999997,4212780910.5666637,16,16,32354717086.0,12411108.0,1208197999000.0,0.0,100000.0,100000.0,15638311.0,181095741250.0
16,query_es3_1_16.q1.reads,query_es3_1_16,es3,q1.reads,fixed_1: fixed_hf,1,1,16,54107004.0477,54.107004047699995,355.0,293.1004247933767,293.1004247933767,104050.65080164872,0.0,52928804.5,67773133.60000001,75972692.96666667,83628908.19999999,98144513.21000002,16,16,142960667.0,22675253.0,34117998999.999996,0.0,10000.0,10000.0,3550000.0,19508061691371.0
17,query_es3_1_16.q2.reads,query_es3_1_16,es3,q2.reads,fixed_1: uar,2,1,16,27105829.1591,27.105829159099997,366.154,581.6997266011285,581.6997266011285,212991.6816939096,0.0,25306307.0,34804596.6,40598613.83333333,46098084.75,61651182.396666795,16,16,152427707.0,8592536.0,17191000000.0,0.0,10000.0,10000.0,3661540.0,20056917896588.0
18,query_es3_1_16.q3.reads,query_es3_1_16,es3,q3.reads,"uar_[1,5]: uar",3,1,16,21521171.0571,21.521171057100002,366.4751,729.3414047115455,729.3414047115455,267285.4642258041,0.0,21886412.5,31957836.4,37788834.3,43054848.3,57072168.116666794,16,16,155920898.0,492056.0,13711000000.0,0.0,10000.0,10000.0,3664751.0,20342724535447.0
19,query_es3_1_16.q4.reads,query_es3_1_16,es3,q4.reads,"uar_[1,5]: uar_alllow",4,1,16,20280022.1571,20.2800221571,366.7514,775.1337105650725,775.1337105650725,284281.37353693513,0.0,21191332.0,30567345.6,35914928.53333333,40789278.55,49967020.62000002,16,16,72243279.0,481251.0,12901000000.0,0.0,10000.0,10000.0,3667514.0,20572693290743.0
20,query_es3_4_1.load.inserts,query_es3_4_1,es3,load.inserts,load,load,4,1,18087681.45486,18.087681454860004,156.38311,55.1078350115506,55.1078350115506,8617.93462447317,0.0,18229723.5,18975269.8,19372724.9,19758365.3,21509048.556666665,1,1,70159597.0,7321098.0,1814624000000.0,0.0,100000.0,100000.0,15638311.0,5938336893.0
21,query_es3_4_1.q1.reads,query_es3_4_1,es3,q1.reads,fixed_1: fixed_hf,1,4,1,34722491.973,34.722491973000004,355.0,28.75802708430991,28.75802708430991,10209.099614930017,0.0,34337414.5,35834598.2,36002918.16666667,36136785.15,36352947.516666666,1,1,44953857.0,32966525.0,347729000000.0,0.0,10000.0,10000.0,3550000.0,1815224103234.0
22,query_es3_4_1.q2.reads,query_es3_4_1,es3,q2.reads,fixed_1: uar,2,4,1,21375512.3363,21.375512336299998,366.1668,46.54843386188351,46.54843386188351,17044.491072217526,0.0,20331660.5,21251570.6,21574960.8,21879073.75,43819216.64,1,1,124922731.0,18828867.0,214829999000.0,0.0,10000.0,10000.0,3661668.0,2163686044739.0
23,query_es3_4_1.q3.reads,query_es3_4_1,es3,q3.reads,"uar_[1,5]: uar",3,4,1,17204990.5475,17.204990547500003,366.4706,57.88376939106275,57.88376939106275,21212.6996990044,0.0,20060943.5,21001658.4,21398666.6,21685931.4,42203421.72333334,1,1,126522324.0,526501.0,172760000000.0,0.0,10000.0,10000.0,3664706.0,2378756887582.0
24,query_es3_4_1.q4.reads,query_es3_4_1,es3,q4.reads,"uar_[1,5]: uar_alllow",4,4,1,16194879.4664,16.194879466400003,366.7522,61.51574803149606,61.51574803149606,22561.03592519685,0.0,19749365.5,20546863.4,21024004.5,21305538.4,21789788.826666668,1,1,25757266.0,457218.0,162560000000.0,0.0,10000.0,10000.0,3667522.0,2552025996952.0
25,query_es3_4_4.load.inserts,query_es3_4_4,es3,load.inserts,load,load,4,4,37954224.71622,37.95422471622,156.38311,102.29143033084117,102.29143033084117,15996.65200148527,0.0,21731690.5,38442189.800000004,53201599.96666666,72417607.85,203146713.81999952,4,4,12258499538.0,10131770.0,977599000000.0,0.0,100000.0,100000.0,15638311.0,13576279259.0
26,query_es3_4_4.q1.reads,query_es3_4_4,es3,q1.reads,fixed_1: fixed_hf,1,4,4,36732966.1637,36.7329661637,355.0,108.53874290427969,108.53874290427969,38531.253731019286,0.0,36451954.5,37220587.8,38021177.96666667,38833365.849999994,40745414.96333334,4,4,50504503.0,34699525.0,92133000000.0,0.0,10000.0,10000.0,3550000.0,3919130915398.0
27,query_es3_4_4.q2.reads,query_es3_4_4,es3,q2.reads,fixed_1: uar,2,4,4,22254180.7858,22.254180785800003,366.187,177.7367008513588,177.7367008513588,65084.86927465653,0.0,21443592.0,22373346.0,23139798.733333334,24077801.15,43021930.423333354,4,4,124070916.0,19420794.0,56263000000.0,0.0,10000.0,10000.0,3661870.0,4288651015885.0
