Patch ID,Execution,Task Name,Topology,Test,OperationsTotal,DocumentsTotal,SizeTotal,DurationTotal,OverheadTotal,ErrorsTotal,AverageLatency,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,LatencyMin,LatencyMax,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,ErrorRate
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_100_0,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523715361,15559926000000,998616366933,0,245932248.594978,523.715361,64.26765782819275,64.26765782819275,33657.959620116446,41660610,27683698207,142682362.5,248092869.60000026,357821462.96666706,529136555.7000001,2562360453.170001,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_100_0,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,0,0,0,0,0,0,,,,,,,,,,,,,,,
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_100_0,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,100000,998960,744941581,916614000000,250013478915881,0,135700911.26921,7449.41581,109.09717721963662,1089.837161553282,812710.2368063328,82085024,222855011,133260255.5,153115865.79999998,163593260.23333332,172073222.24999994,186935988.57666665,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_100_0,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100000,0,0,16476722000000,2049153513317,0,237758584.92726547,0,66.7608520675411,0,0,42939321,27684615521,143669140.5,236850880,341155651.5,496435749.7,1726979738.489996,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_100_0_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523707885,342025000000,1413365918133,0,4041774.713714,523.707885,2923.7628828302027,2923.7628828302027,1531197.6756085083,1780680,393391383,3848049,4465584,4886340.700000001,5347183.2,10881313.47000012,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_100_0_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,0,0,0,0,0,0,,,,,,,,,,,,,,,
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_100_0_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,100000,998980,523168226,9894251000000,6522111012169,0,1570922084.2057,5231.68226,10.106879237245952,100.9657022042396,52875.98080946198,760839680,2204912384,1584571625,1673329898.6,1725808040.8666666,1772152889.3999999,1868965453.4266665,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_100_0_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100016,0,0,10238167000000,40058091927,0,148701734.7803432,0,107.44267015765615,0,0,2685798,2215413910,5273922,6552891,12419479.566666665,1587870221.9499998,1729443897.4466665,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_50_50,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523719785,15973510000000,1078816434946,0,252795604.56183,523.719785,62.60364816499317,62.60364816499317,32786.76915718587,46530884,24744503628,146907445.5,255645207.8,368808414.9666667,546556586.3000002,2593591507.7933474,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_50_50,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49776,49732,0,1127501000000,264078567678030,0,190840596.2972718,0,44.147189226439714,44.10816487080721,0,118216375,552546831,188007825,212865322.8,226753423.6666667,237732539.25000003,258101272.1300001,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_50_50,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50224,501895,374264529,1127673000000,266641108786034,0,138115698.2841072,7451.906040936604,44.53773389980961,445.07139924428446,331891.0082976182,86416108,222472105,135815322,154289872.8,164412930.4,172859666.90000004,188276638.22333363,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_50_50,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100000,0,0,17101371000000,1726634738380,0,247139321.16120544,0,64.32232830923323,0,0,47506452,24745564413,151338505.5,247337979,351801025.26666665,511922766.24999964,1763978775.4333317,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_50_50_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523722003,341383000000,1399204667120,0,4030605.493013,523.722003,2929.26126960042,2929.26126960042,1534118.5794254548,1804977,384356343,3842321,4440292.6,4844860.633333334,5275784.65,11313551.400000088,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_50_50_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49786,49741,0,5839581000000,85802752862168,0,240101169.96057126,0,8.525611683440987,8.517905651107503,0,2675684,2366402608,164692873.5,386801130.0000002,556348522.6333342,729850238.5000012,1123126618.6366675,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_50_50_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50214,501787,262793172,5837978000000,18959718584354,0,1569421623.5613375,5233.464213167643,8.60126571220378,85.95219098119246,45014.41629276438,785945947,2247543045,1602128081.5,1688736737.6000001,1740351957.6333334,1786696067.3,1879737778.0200012,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_50_50_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100016,0,0,6181449000000,55666562020,0,88829477.1881918,0,177.9543922468664,0,0,2677184,2386536047,5258849,6486243.8,12788183.233333321,586190354.5499971,1691945299.0466642,16,16,0
63fd86001e2d172b6c537ce4,0,medical_workload_credit_cards_95_5,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523719679,15508614000000,992420557802,0,244895644.75889,523.719679,64.48029462852064,64.48029462852064,33769.599204674254,32284716,26513842592,141764182,246552184.80000004,355858715.8333333,526708991.55000025,2553373792.903349,16,16,0
