Patch ID,Execution,Task Name,Topology,Test,OperationsTotal,DocumentsTotal,SizeTotal,DurationTotal,OverheadTotal,ErrorsTotal,AverageLatency,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,LatencyMin,LatencyMax,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,ErrorRate
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t16,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523724392,1475241000000,1063819026028,0,22373812.37919,523.724392,677.8553470246557,677.8553470246557,355009.37948443677,5765290,6325704660,16209942.5,26953932.8,38642755.06666668,53829715.55000001,98106165.0333338,16,16,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t16,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49733,49689,0,207800000000,25406820114334,0,30109483.65656606,0,239.33108758421557,239.1193455245428,0,8363730,115332499,30007724,31947963,32888345.333333332,33734874,35707256.333333336,16,16,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t16,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50267,502342,374612262,207752000000,26655108798016,0,4957045.745877016,7452.449161477709,241.9567561323116,2417.9887558242517,1803170.424352112,2014952,81710547,4964966,5572195.8,5891344.733333333,6381860.2,6996153.320000009,16,16,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t16,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100000,0,0,1683141000000,185822592845,0,24289976.696266364,0,653.5400183347681,0,0,6648892,6326700554,17276680,29932250.4,48033111.73333333,54080462.399999976,95558358.53999968,16,16,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t16_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523714344,454544000000,1448886001709,0,5792614.554927,523.714344,2200.007040022528,2200.007040022528,1152175.24376078,1798338,113666075,5388588.5,6808870,7604950.133333335,8397436.700000001,17010361.45000029,16,16,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t16_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49730,49688,0,112930000000,8889002008209,0,3936147.808606475,0,440.36128575223586,439.98937394846365,0,758828,49059999,3680307.5,4981383.6000000015,5755815.4333333345,6368648.8500000015,8578062.95000002,16,16,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t16_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50270,502272,263040644,112931000000,9019676095419,0,1291023.738412572,5232.557071812214,445.1390672180358,4447.600747359007,2329215.5741116256,659697,41609401,907415,1804435.2000000002,2600827.366666667,3063526.25,3617020.616666667,16,16,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t16_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100080,0,0,567922000000,62965586046,0,8201214.136251,0,1937.0265635069604,0,0,2674807,642899217,6961656.5,9265076.2,11153962.633333333,22363640.449999996,25833226.356666658,16,16,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t32,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523706395,1094403000000,1224788429600,0,33390442.203926,523.706395,913.7401852882348,913.7401852882348,478531.57840393344,5964250,10261596867,20784538,38804565.800000004,58720608.66666669,85019497.55000001,172427021.87333453,32,32,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t32,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49666,49622,0,109582000000,36869986525219,0,32890886.42145532,0,453.23137011552996,452.8298443174974,0,10454784,123920694,32733410.5,35060445.8,36151705.03333333,36928114.15000001,39779669.580000035,32,32,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t32,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50334,502621,374820852,109601000000,38244858031130,0,5129374.7831287,7446.673262605794,459.2476346018741,4585.916186896105,3419867.081504731,2118856,50619416,5010634.5,5794610,6321223.133333334,6779930.200000001,7230877.006666671,32,32,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t32,linux-shard-lite-fle.2022-11,InsertActor.Crud,1100000,0,0,1204150000000,450214463437,0,34594519.54299,0,913.5074533903583,0,0,6950795,10263243652,22066646.5,44422282.99999999,57642569.5,82838779.39999999,168625533.32333308,32,32,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t32_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.load.inserts,1000000,1000000,523721855,307558000000,3225998229214,0,6604588.866371,523.721855,3251.4192445002245,3251.4192445002245,1702839.3181123561,1840984,157672398,6196282.5,7301244.200000001,8177043.066666667,9218859.65,18908084.863333464,32,32,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t32_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.update,49682,49636,0,59125000000,11514508679706,0,5110841.172637978,0,840.2875264270613,839.5095137420719,0,763329,63359992,4844144.5,6360100,7140744.933333334,8045166.750000002,10324404.536666675,32,32,0
641491dd850e618884ae90a9,0,medical_workload_credit_cards_50_50_t32_unencrypted,linux-shard-lite-fle.2022-11,InsertActor.FSM.query,50318,502564,263212192,59200000000,11688250138354,0,1584189.9227314282,5230.9748400174885,849.9662162162161,8489.256756756757,4446151.891891892,666500,60937555,962285.5,2334264.0000000005,3273464,3542803.75,3742720.7000000016,32,32,0
