min_ws,max_ws,rss
204800,1413120,434798592
208896,1413120,12238848
212992,1413120,14295040
217088,1413120,4255744
221184,1413120,5754880
225280,1413120,16687104
229376,1413120,7737344
233472,1413120,9039872
237568,1413120,3788800
241664,1413120,9007104
245760,1413120,4521984
249856,1413120,5267456
253952,1413120,14917632
258048,1413120,15323136
262144,1413120,8470528
266240,1413120,10817536
270336,1413120,11599872
274432,1413120,14950400
278528,1413120,13496320
282624,1413120,8011776
286720,1413120,14258176
290816,1413120,16412672
294912,1413120,6610944
299008,1413120,11976704
303104,1413120,7839744
307200,1413120,10817536
311296,1413120,9015296
315392,1413120,22220800
319488,1413120,7954432
323584,1413120,8409088
327680,1413120,8814592
331776,1413120,30498816
335872,1413120,14827520
339968,1413120,3903488
344064,1413120,12316672
348160,1413120,14532608
352256,1413120,6107136
356352,1413120,8921088
360448,1413120,5287936
364544,1413120,5103616
368640,1413120,3608576
372736,1413120,7589888
376832,1413120,6905856
380928,1413120,8802304
385024,1413120,8855552
389120,1413120,8519680
393216,1413120,6459392
397312,1413120,8142848
401408,1413120,15622144
405504,1413120,9207808
409600,1413120,10280960
413696,1413120,9379840
417792,1413120,5992448
421888,1413120,7110656
425984,1413120,8343552
430080,1413120,15515648
434176,1413120,9293824
438272,1413120,7000064
442368,1413120,10326016
446464,1413120,6684672
450560,1413120,2838528
454656,1413120,8925184
458752,1413120,8843264
462848,1413120,18739200
466944,1413120,11337728
471040,1413120,3420160
475136,1413120,4341760
479232,1413120,11333632
483328,1413120,10543104
487424,1413120,4055040
491520,1413120,6225920
495616,1413120,9621504
499712,1413120,13688832
503808,1413120,5611520
507904,1413120,13959168
512000,1413120,11243520
516096,1413120,5259264
520192,1413120,3792896
524288,1413120,4091904
528384,1413120,8765440
532480,1413120,20492288
536576,1413120,5861376
540672,1413120,7610368
544768,1413120,4923392
548864,1413120,13312000
552960,1413120,10178560
557056,1413120,22032384
561152,1413120,8966144
565248,1413120,13393920
569344,1413120,12853248
573440,1413120,6348800
577536,1413120,16162816
581632,1413120,6103040
585728,1413120,9822208
589824,1413120,17850368
593920,1413120,15482880
598016,1413120,8151040
